,Company,JobTitle,Location,EmploymentType,Seniority,Category,GovSupport,SalaryRange,JobLink,PostedDate,ClosingDate,RoleResponsibility,Requirements
0,GOOGLE ASIA PACIFIC PTE. LTD.,"Data Center Strategic Negotiator, Site Acquisition - Singapore",South,Full Time,Executive,General Management,Government support available,"$10,500to$17,500Monthly",/job/c7be1cb4a491ee3740a7f44fa5e2f03c,19-Apr-18,19-May-18,"Company overview: Google is not a conventional company, and we donâ€™t intend to become one. True, we share attributes with the worldâ€™s most successful organizations â€“ a focus on innovation and smart business practices comes to mind â€“ but even as we continue to grow, weâ€™re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Technical Infrastructure Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We're always on call to keep our networks up and running, ensuring our users have the best and fastest experience possible. The role: Data Center Strategic Negotiator, Site Acquisition - Singapore Google's infrastructure needs go far beyond server computers. As Google's products and services scale the globe, the Strategic Negotiation team works behind the scenes to secure infrastructure for Google's future -- everything from underwater cables to physical data center space. As a Strategic Negotiator, you combine your deep market knowledge of a given sector with tech industry savvy to negotiate cost-effective solutions to support Google's infrastructure growth. You'll work with specific project teams on negotiating deals, managing vendor and partner relationships and presenting deal recommendations to our Tech leadership. Your successful negotiations have the potential to save Google millions of dollars in operating costs and impact every part of the business. The Data Center Strategic Negotiator role is a key position within Googleâ€™s Energy and Location Strategy team. This teamâ€™s mission is to provide data center production capacity, anywhere in the world, in a timeframe that meets Googleâ€™s needs. In this position, you will have a key role in helping to drive location strategy, site selection, and portfolio management for new and existing data centers sites and related infrastructure. You'll support the development of the companyâ€™s global energy portfolio strategy, including identifying and helping in the creation of industry leading renewable energy projects, to support the companyâ€™s goal to be carbon neutral and power our data centers with renewable energy. Your knowledge of existing contracts, compliance measures, local relationships, and company goals will position you to be an advocate for sites within the portfolio.Â  Responsibilities:  Work with internal and external technical teams to identify, define, and pursue new site selection projects and initiatives necessary to meet Google's ongoing data center needs, including the procurement of traditional and green energy for existing and new sites. Lead the data center site evaluation and selection process from start to finish, monitoring progress against objectives, providing regular status reports, and financial metrics to support both site and energy-related portfolio decisions. Lead the acquisition of appropriate data centers, and develop strategic agreements with vendors, landowners and key suppliers for space and utility services. Manage the strategy for ongoing growth at existing sites. Develop metrics for the mapping and tracking of a broad range of portfolio management issues regarding site/infrastructure development. Foster an open and inclusive workplace for your colleagues in day to day interactions and conversations. ","Minimum qualifications:  Bachelor's degree in Business Management, Public Policy, Finance, Real Estate, Technology, or Engineering, or equivalent practical experience. Experience in the development of agreements, and the management projects of varying sizes and timelines in Asia Pacific.  Preferred qualifications:  Experience with any of the following: collocation deals, site selection for industrial-scale projects; real estate evaluation, acquisition, development, and construction; negotiating or managing utility contracts; energy-related issues , implementation of clean energy initiatives, or financial modeling. Experience with; economic development policy, financial modeling, infrastructure development, contract drafting and redlining, and presentation development. Familiarity with the various (data center) real estate markets within the Asia Pacific market, including establishing infrastructure in new markets. Familiarity with power transmission and distribution, telecommunications infrastructure, data center technology, industrial class electrical and cooling technology, and/or other related areas of technical expertise. Demonstrated ability to think creatively and come up with commercial and technical solutions. "
1,BLOOMBERG L.P.,Data Contribution Support Representative,South,Full Time,Executive,General Management,Government support available,"$60,000to$75,000Annually",/job/8c04f46eebe78966a20d0f6b66874036,19-Apr-18,19-May-18,"You are excited by the prospect of operating on the cutting edge of technology and the financial markets. You build relationships quickly and effortlessly, and you're the organiser amongst your friends- the person who knows what it really takes just to get things done. You enjoy solving problems- you're a solution provider who has a natural eye for detail. You love dealing with people, you thrive in a team environment, and you're that person who knows what customer service really means. Our Team We are the Project Management & Support arm of the Content Acquisition and Business Management group (or CABM for short). We form an integral part of the Global Data department, and we're responsible for acquiring and publishing all OTC pricing data which makes Bloomberg products so powerful. Specifically we're the ones who manage the design, building and troubleshooting of the site-to-site technology that links data providers up to Bloomberg. In order to do this we need to build strong and lasting relationships with these organisations, have a thorough understanding of the technology they use, and ultimately offer outstanding support to them. We'll trust you to - Manage and support a client base of existing data contributors- helping them to maintain and expand their contributed content on Bloomberg - Find best practices for monitoring thousands of data points for accuracy & timeliness -Troubleshoot a variety of issues via the iconic Bloomberg helpdesk, on the phone and in person, while providing platinum support to data contributors and consumers - Leverage our business intelligence tools to spot trends and pro-actively address recurring customer issues - Work closely with our Content Specialists , Project Management and Terminal Sales teams to really understand the data contributors and data consumersâ€™ needs and assist them with any queries they have - Find technical solutions to help automate our clientsâ€™ workflows and make our internal processes more efficient What's in it for you? - Opportunities to work closely with key players in the financial industry, including traders and market data managers - Work with a global team of motivated technical specialists and data analysts - Partner with business managers and our Engineering teams to enhance our products and exceed our customers' expectations - Autonomy to develop your own ideas and strategies for the markets which you cover - Real potential for exciting and varied career-progression","You'll need to have - Excellent communication skills and a desire to work directly with customers - Interest in technical troubleshooting and project implementation - Keen interest in the financial markets (although past experience is not required) - Meticulous attention to detail - Bachelor's degree or equivalent work experience - Business-level fluency in English and at least one of the following languages: Japanese, Korean, Mandarin, Thai or Bahasa-Indonesia We'd love you to have - Prior experience in a client-facing support role - Some experience with business intelligence tools - Experience of working with technical infrastructure within a financial organization If this sounds like you Apply!Â https://careers.bloomberg.com/job/detail/64515 If we think you're a good match we'll get in touch to let you know the next steps. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
2,A*STAR RESEARCH ENTITIES,SICS - Data Manager,Central,Full Time,Junior Executive,Banking and Finance,Government support available,"$2,500to$5,000Monthly",/job/56cd672437e47eec4b2f269fc7bb4e56,17-Apr-18,17-May-18,"About Singapore Institute for Clinical Sciences (SICS) Established in 2007, the Singapore Institute for Clinical Sciences (SICS) is a research institute within the Agency for Science, Technology and Research (A*STAR), and its mission is to develop clinical and translational research programmes in key disease areas. SICS is distinguished by its focus on clinical sciences and the use of innovative approaches and technologies that enable the efficient and effective study of human health and diseases. The clinical scientists in SICS conduct the full spectrum of â€œbench to bedsideâ€ù research activities in metabolic diseases (including diabetes, obesity and insulin resistance), pathways to normal growth and development (including cognitive and behavioural development), and nutritional sciences. The institute aims to attract, train and nurture clinician-scientists and to develop joint programmes with universities, academic medical centres, government hospitals and research institutes. For more information about A*STAR and SICS, please visit www.a-star.edu.sg and www.sics.a-star.edu.sg respectively. The Data Manager should have experience managing databases and is expected to ensure efficient and effective operation and usage of data. The role acts as an interface to other stakeholders (e.g. collaborators, investigators, etc), ensuring effective integration of the data management process with other processes in order to meet research needs of the domain.Â  Job responsibilities   Primary Administrator for domainâ€™s research database Help stakeholders develop data management plans and maintains plans throughout lifecycle of study Streamline domainâ€™s data management processes Manages data transfers between stakeholders Lead EDC database specification process and work with internal stakeholders to set up electronic data capture instruments; Ensure data within EDC is in quality to lock/unlock and freeze/unfreeze as appropriate for statistical review, interim review, and or final database lock- included but not limited to: data reconciliation and/or coding. Coordinate the archiving of study databases and related documents. Participates in the preparation and presentation of data, when applicable. Ad-hoc management of web services: websites, email services "," Degree in Bioinformatics or relevant field 5-7 years of relevant experience Familiarity with REDCap, knowledge of programming languages (e.g. VB) is a plus  Â  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. Â  We regret that only shortlisted candidates will be notified."
3,CARAT MEDIA SERVICES SINGAPORE PTE LTD,Data Engineer,Central,Full Time,Junior Executive,Banking and Finance,Government support available,"$3,500to$6,000Monthly",/job/fadf2ca5185e0bb439ca1ffae5f526e7,12-Apr-18,12-May-18,"Summary: iProspect helps our clients achieve transformative change in the digital economy.Â  Gleaning insight from data is fundamental to that change.Â  We are looking for an experienced, hands-on data engineer to help leverage and build upon our global suite of tools. You will be well versed in the challenges of joining digital data sets, both during an initial solution build and on an ongoing basis.Â  Having done this work in a cloud-driven environment, be that AWS, Azure, Google Cloud, or for a specific analytical tool, such as Datorama or Qlikview, you are clear on the importance and potential of your engineering contribution to business performance.Â  Itâ€™s why you want a role that is at the junction of commercial & technical which lets you see the impact of your work. You also want to innovate.Â  Youâ€™ll love to take a project from concept to reality, and then design the processes for others to follow, freeing you to work on the next prototype.Â  Youâ€™ll want to collaborate on such projects with our regional and global community of data practitioners; leveraging and contributing to our growing knowledge base.Â Â  You will join a distinctly ambitious team within our Singapore hub, working closely with diverse skillsets from across Dentsu Aegis Network.Â  We ask a lot, but in return youâ€™ll see your career grow rapidly in an industry at the heart of the digital revolution. Reports to: Head of Technology & Analytics Detailed Description:  The key elements of the role are;  Execute industry-leading analytics projects across a broad range of clients. Â Take critical decisions around the teamâ€™s data acquisition, storage, manipulation and analysis work. Innovate; as a team of digital data experts, weâ€™re proud of what weâ€™ve already achieved in this space, but cognisant of the potential still yet untapped.Â  Youâ€™ll bring both ideas and an ability to deliver upon them. Help junior team members grow their technical and analytical skillsets; well-versed in working with a range of data platforms, youâ€™ll coach others in a range of engineering and analytical approaches.Â  The ultimate goal of this role is to lead data engineering for iProspect in Singapore and the region, connecting our business with the rest of the Dentsu Aegis Network. Partner closely with the wider department; working alongside the data operations and consulting teams, youâ€™ll help grow the groupâ€™s profile and profitability. Play a key role in our data community, both locally and globally, sharing best practice with specialists across a range of disciplines including technology deployment, engineering, visualisation, optimisation and modelling ","Skills & Experience Required: The role will best suit someone with 3-7 yearsâ€™ relevant experience. Essential qualities  Proven experience working on technical digital analytics projects. You will have a strong foundational knowledge of data acquisition, manipulation, analysis and visualisation best practice.Â  Coding specialism(s) in SQL, Python, and similar languages Practical experience with scaled data management tools A willing mentor; acutely aware of the value in helping others learn Gravitas as a subject matter expert Excellent communication skills; able to explain technical concepts to a diverse audience An eye for innovation; in analytical approaches, business process and commercial structure Â  Strong interpersonal skills; ability to build and maintain strong working relationships, as well as an empathy for resistance to change An ambition for personal development; the appetite to define your own career path Remain calm when faced with multiple tasks; able to prioritise and deliver on time A disposition towards solutions, not problems Fluency in English (written and oral)  Additional skills   We are most interested in technical skill and potential, but are keen to hear about any coaching & training youâ€™ve done to date A broad understanding of AdTech or MarTech and the business processes they underpin "
4,UBS AG,CMO Maintenance Data Analyst,South,Contract ...,Non-executive,Sciences / Laboratory / R&D,,"$35,000to$58,000Annually",/job/531f8e41ed9984b7595b176d7edab410,11-Apr-18,11-May-18,"Your role : Are you incredibly organized with an eye for detail? Do you know how to take care of business? Weâ€™re looking for someone like that to: â€¢ Manage and resolve key data deficiencies related to business sponsorship on daily basis in relation to regulatory initiatives such as FinFrag, MIFID2, 871M and Volcker.  â€¢ Capture and input client static data in IB Onboarding system, which are in sync with document records and evidencing. Comfortable navigating UBS onboarding systems to look for client data, and able to perform data analysis at the account level to understand what the client is entitled to trade.  â€¢ Liaise with senior sales and business COO management towards exception resolution  â€¢ Utilise client data points from both UBS sales and legal hierarchies to perform investigations, or to answer queries from sales and business COO management  â€¢ Interact directly with senior business stakeholders where necessary  â€¢ Coordinate with other teams within CMO in the event of additional maintenance actions (e.g. offboarding of client)  â€¢ Evaluate and optimize existing processes, implement new processes and improvement ideas Â  Your team : Are you incredibly organized with an eye for detail? Do you know how to take care of business? Weâ€™re looking for someone like that to: â€¢ Manage and resolve key data deficiencies related to business sponsorship on daily basis in relation to regulatory initiatives such as FinFrag, MIFID2, 871M and Volcker.  â€¢ Capture and input client static data in IB Onboarding system, which are in sync with document records and evidencing. Comfortable navigating UBS onboarding systems to look for client data, and able to perform data analysis at the account level to understand what the client is entitled to trade.  â€¢ Liaise with senior sales and business COO management towards exception resolution  â€¢ Utilise client data points from both UBS sales and legal hierarchies to perform investigations, or to answer queries from sales and business COO management  â€¢ Interact directly with senior business stakeholders where necessary  â€¢ Coordinate with other teams within CMO in the event of additional maintenance actions (e.g. offboarding of client)  â€¢ Evaluate and optimize existing processes, implement new processes and improvement ideas","YourÂ experience and skills :â€¢ Past experience in investment banking operations environment, preferably within the KYC/Onboarding space. Client focused, organized at bundling of requests and sensible on turnaround time. â€¢ Degree preferably in Accounting, Finance, Banking (not mandatory); â€¢ Confident with strong interpersonal skills; â€¢ Excellent analytical and problem solving skills; â€¢ Excellent written and spoken English; â€¢ Strong PC skills including MS Word, Excel, Powerpoint and Outlook. You may also apply directly via our career website using below link: https://jobs.ubs.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=25008&siteid=5012&AReq=169018BR To learn more about UBS and other opportunities, please visit www.ubs.com/careers"
5,MONEYSMART SINGAPORE PTE. LTD.,Data Analyst,South,Contract ...,Non-executive,Sciences / Laboratory / R&D,Government support available,"$5,000to$7,000Monthly",/job/cc82172cc065c02d29c80888752c0382,10-Apr-18,10-May-18,"The mission As part of becoming one of the founding members of the new Data Team within the MoneySmart organization, you will be tasked with helping transform our business into an agile, well-informed, data-driven decision making powerhouse. You will need to work closely with the product, sales, marketing and strategy teams within the business, and deploy best practices in data modelling, warehousing architecture, visualizations and storytelling to solve critical problems and unveil opportunities and trends for the business to succeed. In a nutshell  Be a part of the MoneySmart team to understand how our visitors are engaging with us, understand what their needs are and how we can serve them better Identify customer segments by integrating new and old data sources that will inform marketing and sales Work to quantify various opportunities to help the team prioritise the product roadmap Work side-by-side with marketing, product and engineering to ensure your analysis and insights translate to meaningful outcomes and a better experience for our customers Build relationships with teams across the company, from marketing and engineering to customer support and business development. Provide data stewardship for the business which include building and maintaining data definitions, enforcing data policies and ensuring compliance across the organization Provide leadership and mentorship to junior members of the data team  Competencies  Proven track record in analytical thinking and turning insight into action Excellent communication skills and the ability to tell compelling data stories Strong data visualization skills Ability to analyze and solve business problems at its root, with an understanding of the broader context Meticulous with a strong attention to detail Creative problem solving skills for when challenges get challenging Awesome organizational skills and a love for creating good documentation  Cultural Values  Build a positive team and family spirit Be willing to engage, disagree and commit Always in pursuit of learning and growth Be humble Do more with less Stay hungry and take ownership ","Requirements  Degree in Computer Science, Math, Statistics or any of their equivalents 5+ years of relevant experience in an analytical role or a data science role 1+ years experience in any web analytics capacity Strong background in SQL, with the ability to write and tune complex queries Knowledge of data modelling concepts and experienced in applying them Strong business acumen in deciphering what stakeholders need  Bonus points  Experience with reporting on any of these tools (Amplitude, Google Analytics, Salesforce) Experience in any of these scripting languages (Ruby on Rails, Javascript, Java, Python) Experience with ETL development "
6,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,Technology Consulting - Data and Analytics Associate,Central,Permanent ...,Executive ...,Advertising / Media ,Government support available,"$3,500to$7,000Monthly",/job/437f9eb6403f694a373fb21cba615107,6-Apr-18,6-May-18,"Consulting  We help organisations to work smarter and grow faster. Our work is always evolving to respond to industry trends and management focus, and we combine our deep technical skills in response to our clients' changing needs. Over time, what we do remains closely linked with helping our clients improve the way they operate; innovate and grow; reduce costs; manage risks; leverage talent; and change the way they do business.  Our aim is to support our clients in designing, managing and executing lasting beneficial change. *Job Description PwC is one of the leading professional services firms in Singapore and one of the largest in the world. In the Consulting Data & Analytics team we are passionate about utilizing data to drive strategic and operational decisions, help organisations improve revenue, reduce cost and increase productivity.  We pride ourselves on our supportive team culture and diverse backgrounds. We strongly believe in the importance of potential and a desire to learn. As such it is important to us that you fit well with our team, have a strong desire to learn, develop your own skills and support and coach others.  Apply to join one of the fastest growing professional services Analytics teams in Singapore and you will have the opportunity to be exposed to a wide range of industries and clients, solve challenging problems with data, and work in diverse and collaborative teams that will support your learning and career growth. *Job Description PwC is one of the leading professional services firms in Singapore and one of the largest in the world. In the Consulting Data & Analytics team we are passionate about utilizing data to drive strategic and operational decisions, help organisations improve revenue, reduce cost and increase productivity.  We pride ourselves on our supportive team culture and diverse backgrounds. We strongly believe in the importance of potential and a desire to learn. As such it is important to us that you fit well with our team, have a strong desire to learn, develop your own skills and support and coach others.  Apply to join one of the fastest growing professional services Analytics teams in Singapore and you will have the opportunity to be exposed to a wide range of industries and clients, solve challenging problems with data, and work in diverse and collaborative teams that will support your learning and career growth.   Responsibilities  Perform work across diverse industries and projects ranging from developing organisational strategies for analytics to building sophisticated data visualisations and analytical models Analyse and interpret large volumes of data from client data systems and external sources using proprietary and open source data tools, platforms and analytical tool kits Translate complex findings into simple language and communicate them to internal and external stakeholders, such as your team members and clients executives Deliver excellent client service and work from both the PwC Singapore office and at client sites ","Requirements  Below are the attributes and skills we look for in candidates, but donâ€™t be discouraged if you donâ€™t possess all or even most of them. We would still love to talk to you about joining our team.  A degree with a quantitative focus: Actuarial Science, Business Analytics, Computer Science, Computer Engineering, Economics, Engineering, Information Systems or Technologies, Sciences, Mathematics, Statistics or other related disciplines that possesses an analytical component 1 â€“ 2 years of full time working experience in an Analytics or related role Strong preference for basic competency in two or more of the following: 	 an analytical software (e.g. R, SAS); a data visualization tool (e.g. Qlikview, Tableau, PowerBI,); a relational or graph database management tool (e.g. SQL, NoSQL, Neo4J); or programming. (e.g. VBA, C++, Java, Python)   A self-driven learner with the ability to quickly learn and apply new tools and techniques such as proprietary analytical software, data models and programming languages An appreciation for structured methodical research, critical thinking and problem solving skills with an understanding for the application of these skills in the business environment A natural curiosity to identify, investigate and explain trends and patterns in data An ability to analyse and break down complex concepts and technical findings into clear and simple language for communication to team members and clients   We regret that only short-listed candidates will be notified."
7,DENTSU AEGIS NETWORK HUB2050,Data Science Analyst,Central,Permanent ...,Executive ...,Advertising / Media ,Government support available,"$4,000to$6,000Monthly",/job/3ab8e8e1373a15a42f60f0dac7496fff,6-Apr-18,6-May-18,"BACKGROUND: About Dentsu Aegis Network Dentsu Aegis Network helps clients build consumer relationships by communicating their products and brands effectively. Our distinctive and innovative range of products and services include marketing and communications strategies through digital marketing and creative execution, media planning and buying, creative services, technology applications, SEO, content creation, brand tracking and marketing analytics. Find out more about us at https://www.dentsuaegisnetwork.com/ Â  About Dentsu Aegis Networkâ€™s Global Data Innovation Centre As the world of data continues to grow exponentially in the advent of connected devices, IoT, industrialised digitization of the economy and the way people move through digitized networks, Dentsu Aegis seeks to harness the power of data and transform this into intelligent applications, products and platforms. Â  The Dentsu Aegis Network Global Data Innovation Centre, hubbed in Singapore, is a strategic initiative to ensure that the Group stays at the forefront of the digital economy and develops global products which sit at the intersection of deep domain knowledge, consumer psychology, data and technology. Â  KEY ACCOUNTABILITIES: As a Data Science Analyst, you will work closely with the Data Scientists and the engineering team to develop leading edge data analytics solutions and capabilities that uncovers insights from vast amounts of structured and unstructured data, through a combination of research and experimentation. Â  On a day to day basis, your responsibilities can comprise of:  Apply quantitative methods and build statistically valid and scalable algorithms that convey actionable conclusions from very large datasets. You should be able to synthesize scientific publications on statistical applications and then write programs to implement the applications that are most suitable for our data. Complete tasks effectively and in a timely manner. ","â€‹â€‹We invite people passionate about data and artificial intelligence to join a growing team.Â  You have to be aÂ self-starter, hands-on builder and collaborative team player. You can think on your feet, connect disparate dots, imagine connections and importantly, craft approaches to turn ideas and imagination into real capabilities, inspired by data. You are excited by your work going live in the market with clients and teams around the world. Desired Skills and Experience  1+ years of experience in applied data science. At least a Bachelorâ€™s degree in Mathematics, Statistics, Computer Science, Engineering or Information Systems. Familiar with Python programming, including pandas and NumPy libraries. Working knowledge in machine learning / data mining. Highly logical, systematic, independent and fast learner. Self-starter and motivated. Confident, responsible and can proactively think of and implement solutions to tricky problems.â€‹ "
8,COMTEL SOLUTIONS PTE LTD,Data Analyst / Business Data Analyst,Central,Full Time,Professional,Banking and Finance,Government support available,"$7,000to$10,500Monthly",/job/2319ca82a811eb1f8e103c26015ba42a,4-Apr-18,4-May-18," Responsible to perform Data Profiling Responsible to perform data gap / Impact analysisÂ  Responsible to perform analysis & understand on the linkage of different source system based on Workshops with source systems SMEâ€™s and Business usersÂ  To perform the discussion with Data modeling team on the Place holders for Mapping attributes to Data Model / Analytics Data Marts. Responsible to identify Data security requirements, sensitive information Responsible to create source target Data mapping for FSLDM & Data Marts Responsible to walkthrough of Mapping documents to ETL and Reporting Teams Responsible to create Functional Specifications Documents. Responsible to walkthrough the FS and Obtain Sign off from Business UserÂ  Responsible to obtain/Update data dictionary document Work with the Project/Release Managers and Delivery leads for the deliverables and timelines and ensures that end-to-end BI requirements are met. Should act as trusted advisor for the customer. "," Over all 5 to 8 years of experienceÂ  Analyst with extensive experience of working in business user facing role, systems / Products and data analysis Should have strong knowledge in DWH/BI domain space At least 3+ years of working experience in Data Analyst role specific to banking / Finance, Insurance domain (BFSI). Co-ordinate with business users to understand & gather the requirements and document them into Business requirements documents (BRD), Functional Specifications (FS). Convert BRD, User requirements into technical specifications â€“ namely Data dictionary (DD), Source to Target mappings, report specificationsâ€_etc Hands on experience on SQLâ€™s -Teradata SQL. Performs data gap analysis and drives the data requirements clarification with source systems. Should have experience in supporting the User Acceptance test and able to perform the Root Cause Analysis and strong in issue re-solution techniquesÂ  Should be able to perform the impact assessment and high level estimates / Scope preparation. Should be strong in dealing the reference data managementÂ  Self-driven, enthusiastic, quick learner and have a problem solving attitude with strong analytical, communication skills. Have worked on any of the Data models â€“ Banking / Finance data model is a plus.Â  Have worked on any of the Banking Projects Expert knowledge of QA processes, tools test techniques and strategies Possesses strong analytical, process-oriented, and risk management abilities Strong understanding of data warehouse fundamentals is a plus  Interested applicants are invited to apply by clicking upon the link below or by email to recruit@comtel-solutions.com Â "
9,LAZADA SERVICES SOUTH EAST ASIA PTE. LTD.,Senior Data Engineer,Central,Full Time,Professional,Banking and Finance,Government support available,"$9,000to$11,000Monthly",/job/9ad8e5ae860f5d974d91c54f4f333363,2-Apr-18,2-May-18,"Introduction to Lazada eLogistics (LeL)  Everything written about eCommerce opportunity in Southeast Asia is overwhelmingly positive - a population of 600 million plus consumers, growing internet connectivity, broad penetration of smart phones, a young and tech savvy population and expanding GDP and purchasing power. The regionâ€™s rate of eCommerce share of total retail at around 1 percent shows enormous opportunity in comparison to 14-17% in the west and China.   Â    Despite these overwhelming possibilities, the logistics environment in SE Asia a huge challenge.   Â    Lazada eLogistics (LeL) mission is to address these challenges, delight customers and win them over to eCommerce. We are building an innovative, highly visible, low cost logistics network. Our operating model is based on an ecosystem of logistics partners stitched together with state of the art technology and our modular infrastructure   Â    LeL is the Logistics arm of the Lazada Group and is structured around four operating Business Units   Express: own B2C last mile delivery capabilities from pick-up to sort to delivery Transport: Management of our ecosystem of partners (3PLs) along all the transportation components Fulfilment: Operation of a network of warehouses that can fill retail orders on our own behalf, as well as providing fulfilment services to merchants and international brands Crossborder: Build-up & management of international logistics network giving seamlessly access to ASEAN  As a Senior Data Engineer in Lazada eLogistics Tech Team, you'll be part of an extremely motivated and experienced group of people. You'll help drive LeL business and be a key contributor. You may also become mentor for other developers and business members in future.    Does the real-time challenge of dealing with massive datasets (billions of transactions a day) gets you excited? If yes, then we would like to speak with you. Lazada eLogistics is using cutting edge technologies (Hadoop, Spark, Scala, Kafka, Flume) to build new data products that aim to change the eLogistics landscape.    You will be the tech leader of a data engineering team that primarily focuses on productionalizing data pipelines that drive our most critical applications. The tech lead position is the a critical layer that makes sure projects get done.    [THE ROLE]   Your daily duties will be:  Develop real-time data ingestion pipelines and batch data ingestion pipelines for analysis, machine learning, dashboards, alerts and visualizations. Develop new systems and tools to enable data scientists to consume and analyse data faster and more efficiently. Convert specs into to working code. Mentor engineers in the team. Execute code review. Work and tune Hadoop/Spark environments (Storm as plus). Script programs and APIs in Java/Scala. Create, monitor and manage low latency ETL and Data pipelines for Big Data using Kafka/Flume ","To succeed in the role, you should ideally have:  Minimum 6 years of Java/Scala development experience. Knowledge of Scala and/or Spark. Great experience building production applications in a secure Hadoop environment. Good experience with Kafka. Experience with Multithreaded and Concurrent programming. Ability to write well-abstracted, reusable code components (TDD / Git / Jenkins / Ansible as plus). Experience in cloud computing services, relational, and non-relational databases for business intelligence and analytics. "
